card1,card2,synergy
Flame Saber,Viking Cleaver,2
Flame Saber,Bone Splitter,-5
Flame Saber,Meteor Axe,5
Flame Saber,Glacier Axe,-5
Flame Saber,Storm Axe,2
Flame Saber,Emerald Tomahawk,-5
Flame Saber,Oak Bow,-5
Flame Saber,Longbow,-5
Flame Saber,Crossbow,-5
Flame Saber,Repeater Crossbow,-5
Flame Saber,Flame Bow,3
Flame Saber,Frost Bow,-5
Flame Saber,Thunder Bow,2
Flame Saber,Shadow Bow,-5
Flame Saber,Hawk Bow,-5
Flame Saber,Moonlight Bow,-5
Flame Saber,Wooden Staff,-5
Flame Saber,Wizard Staff,-5
Flame Saber,Healing Staff,-5
Flame Saber,Necro Staff,-5
Flame Saber,Storm Staff,2
Flame Saber,Flame Staff,5
Flame Saber,Frost Staff,-5
Flame Saber,Crystal Staff,-5
Flame Saber,Druid Staff,-5
Flame Saber,Solar Staff,-5
Flame Saber,Iron Spear,-5
Flame Saber,Steel Spear,-5
Flame Saber,Pike,-5
Flame Saber,Halberd,-5
Flame Saber,Trident,-5
Flame Saber,Dragon Lance,12
Flame Saber,Ice Lance,-5
Flame Saber,Thunder Spear,2
Flame Saber,Serpent Spear,-5
Flame Saber,Sun Lance,-5
Flame Saber,Dagger,-5
Flame Saber,Poison Dagger,-5
Flame Saber,Silent Knife,-5
Flame Saber,Throwing Knives,-5
Flame Saber,Glass Dagger,-5
Flame Saber,Vampire Fang,-5
Flame Saber,Venom Shiv,-5
Flame Saber,Assassin Blade,-5
Flame Saber,Smoke Dagger,-5
Flame Saber,Mirror Knife,-5
Flame Saber,Wooden Shield,-5
Flame Saber,Iron Shield,-5
Flame Saber,Tower Shield,-5
Flame Saber,Spiked Shield,-5
Flame Saber,Mirror Shield,-5
Flame Saber,Dragon Shield,5
Flame Saber,Ice Shield,-5
Flame Saber,Storm Shield,2
Flame Saber,Holy Shield,-5
Flame Saber,Thorn Shield,-5
Flame Saber,Stone Hammer,2
Flame Saber,War Hammer,2
Flame Saber,Thunder Hammer,2
Flame Saber,Forge Hammer,3
Flame Saber,Ice Maul,-5
Flame Saber,Gravity Hammer,-5
Flame Saber,Bone Hammer,-5
Flame Saber,Titan Hammer,2
Flame Saber,Copper Mace,2
Flame Saber,Morning Star,-5
Flame Saber,Slingshot,-5
Flame Saber,Boomerang,-5
Flame Saber,Harpoon,-5
Flame Saber,Net Launcher,-5
Flame Saber,Flare Gun,3
Flame Saber,Blowgun,-5
Flame Saber,Hookshot,-5
Flame Saber,Chakram,-5
Flame Saber,Crystal Orb,-5
Flame Saber,Spell Book,-5
Flame Saber,Laser Pistol,2
Flame Saber,Plasma Rifle,2
Flame Saber,Rocket Launcher,5
Flame Saber,Energy Cannon,2
Flame Saber,Railgun,-5
Flame Saber,Cyber Blade,2
Flame Saber,Pulse Shield,-5
Flame Saber,Drone Swarm,-5
Flame Saber,Nano Spear,-5
Flame Saber,Void Cannon,-5
Frost Blade,Thunder Katana,-3
Frost Blade,Shadow Dirk,-3
Frost Blade,Sun Scimitar,-3
Frost Blade,Crystal Longsword,-3
Frost Blade,Obsidian Greatsword,-3
Frost Blade,Bronze Axe,-3
Frost Blade,War Axe,-3
Frost Blade,Twin Hatchets,-3
Frost Blade,Executioner Axe,-3
Frost Blade,Viking Cleaver,-3
Frost Blade,Bone Splitter,-3
Frost Blade,Meteor Axe,-3
Frost Blade,Glacier Axe,3
Frost Blade,Storm Axe,-3
Frost Blade,Emerald Tomahawk,-3
Frost Blade,Oak Bow,-3
Frost Blade,Longbow,-3
Frost Blade,Crossbow,-3
Frost Blade,Repeater Crossbow,-3
Frost Blade,Flame Bow,-3
Frost Blade,Frost Bow,3
Frost Blade,Thunder Bow,-3
Frost Blade,Shadow Bow,-3
Frost Blade,Hawk Bow,-3
Frost Blade,Moonlight Bow,-3
Frost Blade,Wooden Staff,-3
Frost Blade,Wizard Staff,-3
Frost Blade,Healing Staff,-3
Frost Blade,Necro Staff,-3
Frost Blade,Storm Staff,-3
Frost Blade,Flame Staff,-3
Frost Blade,Frost Staff,3
Frost Blade,Crystal Staff,-3
Frost Blade,Druid Staff,-3
Frost Blade,Solar Staff,-3
Frost Blade,Iron Spear,-3
Frost Blade,Steel Spear,-3
Frost Blade,Pike,-3
Frost Blade,Halberd,-3
Frost Blade,Trident,4
Frost Blade,Dragon Lance,-3
Frost Blade,Ice Lance,12
Frost Blade,Thunder Spear,-3
Frost Blade,Serpent Spear,-3
Frost Blade,Sun Lance,-3
Frost Blade,Dagger,-3
Frost Blade,Poison Dagger,-3
Frost Blade,Silent Knife,-3
Frost Blade,Throwing Knives,-3
Frost Blade,Glass Dagger,-3
Frost Blade,Vampire Fang,-3
Frost Blade,Venom Shiv,-3
Frost Blade,Assassin Blade,-3
Frost Blade,Smoke Dagger,-3
Frost Blade,Mirror Knife,-3
Frost Blade,Wooden Shield,-3
Frost Blade,Iron Shield,-3
Frost Blade,Tower Shield,-3
Frost Blade,Spiked Shield,-3
Frost Blade,Mirror Shield,-3
Frost Blade,Dragon Shield,-3
Frost Blade,Ice Shield,3
Frost Blade,Storm Shield,-3
Frost Blade,Holy Shield,-3
Frost Blade,Thorn Shield,-3
Frost Blade,Stone Hammer,-3
Frost Blade,War Hammer,-3
Frost Blade,Thunder Hammer,-3
Frost Blade,Forge Hammer,-3
Frost Blade,Ice Maul,3
Frost Blade,Gravity Hammer,-3
Frost Blade,Bone Hammer,-3
Frost Blade,Titan Hammer,-3
Frost Blade,Copper Mace,-3
Frost Blade,Morning Star,-3
Frost Blade,Slingshot,-3
Frost Blade,Boomerang,-3
Frost Blade,Harpoon,4
Frost Blade,Net Launcher,-3
Frost Blade,Flare Gun,-3
Frost Blade,Blowgun,-3
Frost Blade,Hookshot,-3
Frost Blade,Chakram,-3
Frost Blade,Crystal Orb,-3
Frost Blade,Spell Book,-3
Frost Blade,Laser Pistol,-3
Frost Blade,Plasma Rifle,-3
Frost Blade,Rocket Launcher,-3
Frost Blade,Energy Cannon,-3
Frost Blade,Railgun,-3
Frost Blade,Cyber Blade,-3
Frost Blade,Pulse Shield,-3
Frost Blade,Drone Swarm,-3
Frost Blade,Nano Spear,-3
Frost Blade,Void Cannon,-3
Thunder Katana,Shadow Dirk,-1
Thunder Katana,Sun Scimitar,-1
Thunder Katana,Crystal Longsword,-1
Thunder Katana,Obsidian Greatsword,-1
Thunder Katana,Bronze Axe,-1
Thunder Katana,War Axe,-1
Thunder Katana,Twin Hatchets,-1
Thunder Katana,Executioner Axe,-1
Thunder Katana,Viking Cleaver,-1
Thunder Katana,Bone Splitter,-1
Thunder Katana,Meteor Axe,2
Thunder Katana,Glacier Axe,-1
Thunder Katana,Storm Axe,5
Thunder Katana,Emerald Tomahawk,-1
Thunder Katana,Oak Bow,2
Thunder Katana,Longbow,2
Thunder Katana,Crossbow,2
Thunder Katana,Repeater Crossbow,2
Thunder Katana,Flame Bow,2
Thunder Katana,Frost Bow,-1
Thunder Katana,Thunder Bow,3
Thunder Katana,Shadow Bow,-1
Thunder Katana,Hawk Bow,2
Thunder Katana,Moonlight Bow,-1
Thunder Katana,Wooden Staff,-1
Thunder Katana,Wizard Staff,-1
Thunder Katana,Healing Staff,-1
Thunder Katana,Necro Staff,-1
Thunder Katana,Storm Staff,5
Thunder Katana,Flame Staff,2
Thunder Katana,Frost Staff,-1
Thunder Katana,Crystal Staff,-1
Thunder Katana,Druid Staff,-1
Thunder Katana,Solar Staff,-1
Thunder Katana,Iron Spear,-1
Thunder Katana,Steel Spear,-1
Thunder Katana,Pike,-1
Thunder Katana,Halberd,-1
Thunder Katana,Trident,-1
Thunder Katana,Dragon Lance,2
Thunder Katana,Ice Lance,-1
Thunder Katana,Thunder Spear,5
Thunder Katana,Serpent Spear,-1
Thunder Katana,Sun Lance,-1
Thunder Katana,Dagger,-1
Thunder Katana,Poison Dagger,-1
Thunder Katana,Silent Knife,-1
Thunder Katana,Throwing Knives,2
Thunder Katana,Glass Dagger,-1
Thunder Katana,Vampire Fang,-1
Thunder Katana,Venom Shiv,-1
Thunder Katana,Assassin Blade,-1
Thunder Katana,Smoke Dagger,-1
Thunder Katana,Mirror Knife,-1
Thunder Katana,Wooden Shield,-1
Thunder Katana,Iron Shield,-1
Thunder Katana,Tower Shield,-1
Thunder Katana,Spiked Shield,-1
Thunder Katana,Mirror Shield,-1
Thunder Katana,Dragon Shield,2
Thunder Katana,Ice Shield,-1
Thunder Katana,Storm Shield,3
Thunder Katana,Holy Shield,-1
Thunder Katana,Thorn Shield,-1
Thunder Katana,Stone Hammer,-1
Thunder Katana,War Hammer,-1
Thunder Katana,Thunder Hammer,12
Thunder Katana,Forge Hammer,2
Thunder Katana,Ice Maul,-1
Thunder Katana,Gravity Hammer,-1
Thunder Katana,Bone Hammer,-1
Thunder Katana,Titan Hammer,-1
Thunder Katana,Copper Mace,-1
Thunder Katana,Morning Star,-1
Thunder Katana,Slingshot,2
Thunder Katana,Boomerang,2
Thunder Katana,Harpoon,-1
Thunder Katana,Net Launcher,-1
Thunder Katana,Flare Gun,2
Thunder Katana,Blowgun,-1
Thunder Katana,Hookshot,-1
Thunder Katana,Chakram,2
Thunder Katana,Crystal Orb,-1
Thunder Katana,Spell Book,-1
Thunder Katana,Laser Pistol,3
Thunder Katana,Plasma Rifle,5
Thunder Katana,Rocket Launcher,2
Thunder Katana,Energy Cannon,5
Thunder Katana,Railgun,2
Thunder Katana,Cyber Blade,5
Thunder Katana,Pulse Shield,-1
Thunder Katana,Drone Swarm,-1
Thunder Katana,Nano Spear,-1
Thunder Katana,Void Cannon,-1
Shadow Dirk,Sun Scimitar,-4
Shadow Dirk,Crystal Longsword,-4
Shadow Dirk,Obsidian Greatsword,-4
Shadow Dirk,Bronze Axe,-4
Shadow Dirk,War Axe,-4
Shadow Dirk,Twin Hatchets,3
Shadow Dirk,Executioner Axe,-4
Shadow Dirk,Viking Cleaver,-4
Shadow Dirk,Bone Splitter,-4
Shadow Dirk,Meteor Axe,-4
Shadow Dirk,Glacier Axe,-4
Shadow Dirk,Storm Axe,-4
Shadow Dirk,Emerald Tomahawk,-4
Shadow Dirk,Oak Bow,-4
Shadow Dirk,Longbow,-4
Shadow Dirk,Crossbow,-4
Shadow Dirk,Repeater Crossbow,-4
Shadow Dirk,Flame Bow,-4
Shadow Dirk,Frost Bow,-4
Shadow Dirk,Thunder Bow,-4
Shadow Dirk,Shadow Bow,3
Shadow Dirk,Hawk Bow,-4
Shadow Dirk,Moonlight Bow,-4
Shadow Dirk,Wooden Staff,-4
Shadow Dirk,Wizard Staff,-4
Shadow Dirk,Healing Staff,-4
Shadow Dirk,Necro Staff,-4
Shadow Dirk,Storm Staff,-4
Shadow Dirk,Flame Staff,-4
Shadow Dirk,Frost Staff,-4
Shadow Dirk,Crystal Staff,-4
Shadow Dirk,Druid Staff,-4
Shadow Dirk,Solar Staff,-4
Shadow Dirk,Iron Spear,-4
Shadow Dirk,Steel Spear,-4
Shadow Dirk,Pike,-4
Shadow Dirk,Halberd,-4
Shadow Dirk,Trident,-4
Shadow Dirk,Dragon Lance,-4
Shadow Dirk,Ice Lance,-4
Shadow Dirk,Thunder Spear,-4
Shadow Dirk,Serpent Spear,-4
Shadow Dirk,Sun Lance,-4
Shadow Dirk,Dagger,3
Shadow Dirk,Poison Dagger,-4
Shadow Dirk,Silent Knife,3
Shadow Dirk,Throwing Knives,-4
Shadow Dirk,Glass Dagger,3
Shadow Dirk,Vampire Fang,-4
Shadow Dirk,Venom Shiv,-4
Shadow Dirk,Assassin Blade,12
Shadow Dirk,Smoke Dagger,3
Shadow Dirk,Mirror Knife,-4
Shadow Dirk,Wooden Shield,-4
Shadow Dirk,Iron Shield,-4
Shadow Dirk,Tower Shield,-4
Shadow Dirk,Spiked Shield,-4
Shadow Dirk,Mirror Shield,-4
Shadow Dirk,Dragon Shield,-4
Shadow Dirk,Ice Shield,-4
Shadow Dirk,Storm Shield,-4
Shadow Dirk,Holy Shield,-4
Shadow Dirk,Thorn Shield,-4
Shadow Dirk,Stone Hammer,-4
Shadow Dirk,War Hammer,-4
Shadow Dirk,Thunder Hammer,-4
Shadow Dirk,Forge Hammer,-4
Shadow Dirk,Ice Maul,-4
Shadow Dirk,Gravity Hammer,-4
Shadow Dirk,Bone Hammer,-4
Shadow Dirk,Titan Hammer,-4
Shadow Dirk,Copper Mace,-4
Shadow Dirk,Morning Star,-4
Shadow Dirk,Slingshot,-4
Shadow Dirk,Boomerang,-4
Shadow Dirk,Harpoon,-4
Shadow Dirk,Net Launcher,-4
Shadow Dirk,Flare Gun,-4
Shadow Dirk,Blowgun,-4
Shadow Dirk,Hookshot,-4
Shadow Dirk,Chakram,-4
Shadow Dirk,Crystal Orb,-4
Shadow Dirk,Spell Book,-4
Shadow Dirk,Laser Pistol,-4
Shadow Dirk,Plasma Rifle,-4
Shadow Dirk,Rocket Launcher,-4
Shadow Dirk,Energy Cannon,-4
Shadow Dirk,Railgun,-4
Shadow Dirk,Cyber Blade,-4
Shadow Dirk,Pulse Shield,-4
Shadow Dirk,Drone Swarm,-4
Shadow Dirk,Nano Spear,-4
Shadow Dirk,Void Cannon,-4
Sun Scimitar,Crystal Longsword,4
Sun Scimitar,Obsidian Greatsword,-2
Sun Scimitar,Bronze Axe,-2
Sun Scimitar,War Axe,-2
Sun Scimitar,Twin Hatchets,-2
Sun Scimitar,Executioner Axe,-2
Sun Scimitar,Viking Cleaver,-2
Sun Scimitar,Bone Splitter,-2
Sun Scimitar,Meteor Axe,-2
Sun Scimitar,Glacier Axe,-2
Sun Scimitar,Storm Axe,-2
Sun Scimitar,Emerald Tomahawk,-2
Sun Scimitar,Oak Bow,-2
Sun Scimitar,Longbow,-2
Sun Scimitar,Crossbow,-2
Sun Scimitar,Repeater Crossbow,-2
Sun Scimitar,Flame Bow,-2
Sun Scimitar,Frost Bow,-2
Sun Scimitar,Thunder Bow,-2
Sun Scimitar,Shadow Bow,-2
Sun Scimitar,Hawk Bow,-2
Sun Scimitar,Moonlight Bow,4
Sun Scimitar,Wooden Staff,4
Sun Scimitar,Wizard Staff,4
Sun Scimitar,Healing Staff,3
Sun Scimitar,Necro Staff,-2
Sun Scimitar,Storm Staff,-2
Sun Scimitar,Flame Staff,-2
Sun Scimitar,Frost Staff,-2
Sun Scimitar,Crystal Staff,4
Sun Scimitar,Druid Staff,-2
Sun Scimitar,Solar Staff,3
Sun Scimitar,Iron Spear,-2
Sun Scimitar,Steel Spear,-2
Sun Scimitar,Pike,-2
Sun Scimitar,Halberd,-2
Sun Scimitar,Trident,-2
Sun Scimitar,Dragon Lance,-2
Sun Scimitar,Ice Lance,-2
Sun Scimitar,Thunder Spear,-2
Sun Scimitar,Serpent Spear,-2
Sun Scimitar,Sun Lance,10
Sun Scimitar,Dagger,-2
Sun Scimitar,Poison Dagger,-2
Sun Scimitar,Silent Knife,-2
Sun Scimitar,Throwing Knives,-2
Sun Scimitar,Glass Dagger,-2
Sun Scimitar,Vampire Fang,-2
Sun Scimitar,Venom Shiv,-2
Sun Scimitar,Assassin Blade,-2
Sun Scimitar,Smoke Dagger,-2
Sun Scimitar,Mirror Knife,4
Sun Scimitar,Wooden Shield,-2
Sun Scimitar,Iron Shield,-2
Sun Scimitar,Tower Shield,-2
Sun Scimitar,Spiked Shield,-2
Sun Scimitar,Mirror Shield,4
Sun Scimitar,Dragon Shield,-2
Sun Scimitar,Ice Shield,-2
Sun Scimitar,Storm Shield,-2
Sun Scimitar,Holy Shield,3
Sun Scimitar,Thorn Shield,-2
Sun Scimitar,Stone Hammer,-2
Sun Scimitar,War Hammer,-2
Sun Scimitar,Thunder Hammer,-2
Sun Scimitar,Forge Hammer,-2
Sun Scimitar,Ice Maul,-2
Sun Scimitar,Gravity Hammer,4
Sun Scimitar,Bone Hammer,-2
Sun Scimitar,Titan Hammer,-2
Sun Scimitar,Copper Mace,-2
Sun Scimitar,Morning Star,3
Sun Scimitar,Slingshot,-2
Sun Scimitar,Boomerang,-2
Sun Scimitar,Harpoon,-2
Sun Scimitar,Net Launcher,-2
Sun Scimitar,Flare Gun,-2
Sun Scimitar,Blowgun,-2
Sun Scimitar,Hookshot,-2
Sun Scimitar,Chakram,-2
Sun Scimitar,Crystal Orb,4
Sun Scimitar,Spell Book,4
Sun Scimitar,Laser Pistol,-2
Sun Scimitar,Plasma Rifle,-2
Sun Scimitar,Rocket Launcher,-2
Sun Scimitar,Energy Cannon,-2
Sun Scimitar,Railgun,-2
Sun Scimitar,Cyber Blade,-2
Sun Scimitar,Pulse Shield,-2
Sun Scimitar,Drone Swarm,-2
Sun Scimitar,Nano Spear,-2
Sun Scimitar,Void Cannon,-2
Crystal Longsword,Obsidian Greatsword,-5
Crystal Longsword,Bronze Axe,-5
Crystal Longsword,War Axe,-5
Crystal Longsword,Twin Hatchets,-5
Crystal Longsword,Executioner Axe,-5
Crystal Longsword,Viking Cleaver,-5
Crystal Longsword,Bone Splitter,2
Crystal Longsword,Meteor Axe,-5
Crystal Longsword,Glacier Axe,-5
Crystal Longsword,Storm Axe,-5
Crystal Longsword,Emerald Tomahawk,-5
